,life_main,people_main,photos,relation,wall_posts,target
425,1.0,1.0,1261.0,1.0,744.0,2010.0
426,1.0,1.0,17.0,1.0,8.0,62.0
427,7.0,3.0,5.0,5.0,10.0,73.0
428,2.0,7.0,4.0,1.0,5.0,7.0
429,2.0,3.0,62.0,8.0,96.0,387.0
430,1.0,1.0,84.0,1.0,433.0,92.0
431,1.0,1.0,81.0,1.0,69.0,339.0
432,2.0,3.0,20.0,5.0,28.0,18.0
433,1.0,1.0,23.0,1.0,3.0,110.0
434,7.0,2.0,10.0,1.0,14.0,75.0
435,1.0,1.0,150.0,1.0,204.0,130.0
436,1.0,1.0,249.0,1.0,292.0,12.0
437,3.0,2.0,15.0,1.0,136.0,135.0
438,1.0,1.0,27.0,1.0,313.0,92.0
439,2.0,3.0,50.0,3.0,49.0,43.0
440,4.0,2.0,53.0,2.0,1.0,45.0
441,1.0,1.0,200.0,5.0,1163.0,18.0
442,6.0,1.0,59.0,5.0,86.0,129.0
443,1.0,1.0,87.0,1.0,53.0,18.0
444,7.0,1.0,48.0,8.0,95.0,218.0
445,1.0,1.0,38.0,7.0,49.0,32.0
446,1.0,1.0,307.0,1.0,1057.0,314.0
447,1.0,1.0,90.0,1.0,707.0,644.0
448,6.0,3.0,44.0,6.0,1.0,8.0
449,1.0,1.0,32.0,1.0,79.0,72.0
450,1.0,1.0,26.0,1.0,18.0,60.0
451,1.0,1.0,14.0,1.0,1.0,71.0
452,1.0,1.0,1.0,1.0,20.0,17.0
453,7.0,3.0,988.0,2.0,980.0,59.0
454,3.0,3.0,59.0,5.0,28.0,27.0
455,7.0,4.0,168.0,7.0,5656.0,253.0
456,4.0,3.0,7.0,7.0,12.0,17.0
457,1.0,1.0,525.0,1.0,590.0,35.0
458,1.0,1.0,968.0,1.0,1138.0,137.0
459,2.0,7.0,6.0,2.0,7.0,21.0
460,2.0,2.0,18.0,7.0,11.0,19.0
461,1.0,1.0,4.0,8.0,1.0,13.0
462,6.0,2.0,56.0,2.0,133.0,88.0
463,6.0,3.0,111.0,5.0,2.0,10.0
464,1.0,1.0,158.0,1.0,216.0,585.0
465,1.0,1.0,578.0,1.0,4068.0,317.0
466,1.0,1.0,110.0,2.0,3.0,14.0
467,1.0,1.0,71.0,7.0,65.0,55.0
468,1.0,1.0,15.0,1.0,42.0,639.0
469,2.0,3.0,11.0,2.0,160.0,121.0
470,2.0,2.0,128.0,1.0,16.0,56.0
471,1.0,1.0,859.0,1.0,150.0,157.0
472,1.0,1.0,157.0,1.0,2008.0,249.0
473,1.0,1.0,412.0,1.0,420.0,162.0
474,1.0,1.0,11.0,1.0,4.0,41.0
475,1.0,1.0,332.0,1.0,353.0,28.0
476,2.0,4.0,5.0,1.0,10.0,4.0
477,6.0,2.0,19.0,1.0,18.0,28.0
478,1.0,1.0,13.0,2.0,15.0,15.0
479,1.0,1.0,56.0,3.0,38.0,106.0
480,1.0,1.0,13.0,1.0,36.0,58.0
481,1.0,1.0,191.0,1.0,207.0,74.0
482,1.0,1.0,23.0,1.0,18.0,37.0
483,1.0,7.0,76.0,1.0,32.0,22.0
484,1.0,1.0,33.0,2.0,5.0,7.0
485,1.0,1.0,95.0,1.0,342.0,235.0
486,2.0,2.0,34.0,5.0,62.0,65.0
487,1.0,1.0,12.0,1.0,8.0,14.0
488,1.0,1.0,49.0,1.0,2108.0,74.0
489,1.0,1.0,27.0,5.0,47.0,61.0
490,5.0,7.0,68.0,2.0,43.0,8.0
491,1.0,1.0,23.0,1.0,319.0,112.0
492,4.0,3.0,23.0,2.0,14.0,82.0
493,4.0,3.0,4.0,2.0,4.0,7.0
494,4.0,4.0,17.0,2.0,12.0,12.0
495,1.0,1.0,9.0,2.0,48.0,331.0
496,1.0,1.0,25.0,1.0,91.0,36.0
497,1.0,1.0,40.0,1.0,93.0,107.0
498,8.0,3.0,67.0,2.0,27.0,23.0
499,1.0,1.0,199.0,1.0,274.0,117.0
500,1.0,1.0,39.0,4.0,19.0,24.0
501,1.0,1.0,15.0,1.0,59.0,53.0
502,1.0,1.0,55.0,5.0,800.0,692.0
503,1.0,1.0,11.0,2.0,12.0,22.0
504,1.0,1.0,140.0,5.0,52.0,32.0
505,1.0,1.0,30.0,2.0,8.0,44.0
506,1.0,1.0,8.0,1.0,9.0,3.0
507,1.0,1.0,48.0,1.0,77.0,76.0
508,7.0,6.0,69.0,1.0,65.0,241.0
509,2.0,2.0,65.0,2.0,20.0,66.0
510,3.0,5.0,40.0,3.0,41.0,33.0
511,1.0,1.0,498.0,1.0,811.0,83.0
512,1.0,7.0,40.0,2.0,15.0,38.0
513,1.0,1.0,37.0,1.0,20.0,21.0
514,2.0,3.0,40.0,1.0,41.0,72.0
515,1.0,1.0,39.0,1.0,33.0,146.0
516,1.0,1.0,136.0,1.0,315.0,361.0
517,1.0,1.0,461.0,1.0,663.0,79.0
518,6.0,2.0,1461.0,7.0,2447.0,1009.0
